ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist
1401,Muscle-up (on vertical bar),Strength,Back,Body weight,Male,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior , Infraspinatus, Latissimus Dorsi, Pectoralis Major Sternal Head, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers, Triceps Brachii",
1402,L-sit,Strength,Waist,Body weight,Female,"Iliopsoas, Quadriceps, Rectus Abdominis, Tensor Fasciae Latae, Triceps Brachii",
1403,Neck Side Stretch,Stretching,Neck,Body weight,Male,Levator Scapulae,
1404,Back Stretch,Stretching,Back,Body weight,Male,"Latissimus Dorsi, Teres Major",
1405,Back Pec Stretch,Stretching,Back,Body weight,Male,"Latissimus Dorsi, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Teres Major",
1406,Hamstrings Lying Stretch,Stretching,Thighs,Body weight,Female,Hamstrings,
1407,Calf Push Stretch With Hands Against Wall,Stretching,Calves,Body weight,Male,"Gastrocnemius, Soleus",
1408,Band Hip Lift,Strength,Hips,Band,Male,Gluteus Maximus,Hamstrings
1409,Barbell Glute Bridge,Strength,Hips,Barbell,Male,Gluteus Maximus,Hamstrings
1410,Barbell Lateral Lunge,Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1411,Barbell Palms Down Wrist Curl Over A Bench,Strength,Forearms,Barbell,Male,Wrist Extensors,
1412,Barbell Palms Up Wrist Curl Over A Bench,Strength,Forearms,Barbell,Male,Wrist Flexors,
1413,Cable Reverse One Arm Curl,Strength,Forearms,Cable,Male,Brachioradialis,"Biceps Brachii, Brachialis"
1414,Dumbbell One Arm Reverse Preacher Curl,Strength,Forearms,Dumbbell,Male,Brachioradialis,"Biceps Brachii, Brachialis"
1415,Dumbbell One Arm Seated Neutral Wrist Curl,Strength,Forearms,Dumbbell,Male,Wrist Extensors,
1416,Exercise Ball One Leg Prone Lower Body Rotation,Strength,Hips,Stability ball,Male,Gluteus Medius,"Quadriceps, Tensor Fasciae Latae, Triceps Brachii"
1417,Exercise Ball One Legged Diagonal Kick Hamstring Curl,Strength,Hips,Stability ball,Male,Gluteus Maximus,"Gastrocnemius, Sartorius"
1418,Hug keens to chest,Stretching,Hips,Body weight,Male,Gluteus Maximus,Hamstrings
1419,Iron Cross Stretch,Stretching,Hips,Body weight,Male,Gluteus Medius,"Obliques, Tensor Fasciae Latae"
1420,Kneeling Jump Squat,Aerobic,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1421,Modified Push Up to Forearms,Strength,Forearms,Body weight,Male,"Wrist Extensors, Wrist Flexors","Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Triceps Brachii"
1422,Pelvic Tilt Into Bridge,Stretching,Hips,Body weight,Male,Gluteus Maximus,"Hamstrings, Latissimus Dorsi"
