ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist
0001,3-4 Sit-up,Strength,Waist,Body weight,Male,Rectus Abdominis,Obliques
0002,45 Degree Side Bend,Strength,Waist,Body weight,Male,Obliques,Iliopsoas
0003,Air bike,Strength,Waist,Body weight,Male,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis"
0004,Air Twisting Crunch,Strength,Waist,Body weight,Female,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis"
0005,Alternate Biceps Curl (with band),Strength,Upper Arms,Band,Female,Biceps Brachii,"Brachialis, Brachioradialis"
0006,Alternate Heel Touchers,Strength,Waist,Body weight,Male,Obliques,
0007,Alternate Lateral Pulldown,Strength,Back,Cable,Male,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers"
0008,Alternate Lying Floor Leg Raise,Strength,Waist,Body weight,Female,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Obliques, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae"
0009,Assisted Chest Dip (kneeling),Strength,Chest,Leverage machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Teres Major, Triceps Brachii"
0010,Assisted Hanging Knee Raise With Throw Down,Strength,Waist,Assisted,Male,"Iliopsoas, Rectus Abdominis","Adductor Brevis, Adductor Longus, Sartorius, Tensor Fasciae Latae"
0011,Assisted Hanging Knee Raise,Strength,Waist,Assisted,Male,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Sartorius, Tensor Fasciae Latae"
0012,Assisted Lying Leg Raise With Lateral Throw Down,Strength,Waist,Assisted,Male,"Obliques, Rectus Abdominis","Adductor Brevis, Adductor Longus, Sartorius, Tensor Fasciae Latae"
0013,Assisted Lying Leg Raise With Throw Down,Strength,Waist,Assisted,Male,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Obliques, Pectineous, Sartorius, Tensor Fasciae Latae"
0014,Assisted Motion Russian Twist,Strength,Waist,Medicine Ball,Male,Obliques,Rectus Abdominis
0015,Assisted Parallel Close Grip Pull-up,Strength,Back,Leverage machine,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Levator Scapulae, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers"
0016,Assisted Prone Hamstring,Strength,Thighs,Assisted,Male,Hamstrings,
0017,Assisted Pull-up,Strength,Back,Leverage machine,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers"
0018,Assisted Standing Triceps Extension (with towel),Strength,Upper Arms,Assisted,Male,Triceps Brachii,
0019,Assisted Triceps Dip (kneeling),Strength,Upper Arms,Leverage machine,Male,Triceps Brachii,"Latissimus Dorsi, Pectoralis Major Sternal Head, Teres Major"
0020,Balance Board,Strength,Calves,Body weight,Male,"Adductor Longus, Adductor Magnus, Gastrocnemius, Gluteus Maximus, Quadriceps, Soleus",
0021,Ball Sit-up (on stability ball),Strength,Waist,Stability ball,Female,Rectus Abdominis,"Iliopsoas, Obliques, Quadriceps, Sartorius, Tensor Fasciae Latae"
0022,Barbell Pullover To Press,Strength,Back,Barbell,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Trapezius Middle Fibers, Trapezius Upper Fibers"
0023,Barbell Alternate Biceps Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis"
0024,Barbell Bench Front Squat,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Soleus"
0025,Barbell Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
0026,Barbell Bench Squat,Strength,Hips,Barbell,Male,Quadriceps,"Adductor Magnus, Soleus"
0027,Barbell Bent Over Row,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Deltoid Posterior"
0028,Barbell Clean and Press,Strength,Shoulders,Barbell,Male,"Deltoid Anterior, Gluteus Maximus, Quadriceps",
0029,Barbell Clean-grip Front Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0030,Barbell Close-Grip Bench Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head"
0031,Barbell Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis"
0032,Barbell Deadlift,Strength,Hips,Barbell,Male,Gluteus Maximus,"Adductor Magnus, Erector Spinae, Hamstrings, Quadriceps, Soleus"
0033,Barbell Decline Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
0034,Barbell Decline Bent Arm Pullover,Strength,Back,Barbell,Male,Latissimus Dorsi,"Levator Scapulae, Pectoralis Major Sternal Head, Triceps Brachii"
0035,Barbell Decline Close Grip To Skull Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,
0036,Barbell Decline Wide-grip Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
0037,Barbell Decline wide-grip pullover,Strength,Back,Barbell,Male,Latissimus Dorsi,"Deltoid Posterior, Levator Scapulae, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii"
0038,Barbell Drag Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis, Deltoid Anterior, Deltoid Posterior"
0039,Barbell Front Chest Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0040,Barbell Front Raise and Pullover,Strength,Chest,Barbell,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Deltoid Lateral, Latissimus Dorsi, Serratus Anterior, Teres Major, Triceps Brachii"
0041,Barbell Front Raise,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior"
0042,Barbell Front Squat,Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0043,Barbell Full Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0044,Barbell Good Morning,Strength,Thighs,Barbell,Male,Hamstrings,"Adductor Magnus, Gluteus Maximus"
0045,Barbell Guillotine Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
0046,Barbell Hack Squat,Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0047,Barbell Incline Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii"
0048,Barbell Incline Reverse-grip Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head"
0049,Barbell Incline Row,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Minor , Tibialis Anterior, Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Pectoralis Major Sternal Head"
0050,Barbell Incline Shoulder Raise,Strength,Chest,Barbell,Male,Serratus Anterior,Pectoralis Major Clavicular Head
0051,Barbell Jefferson Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0052,Barbell JM Bench Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Sternal Head"
0053,Barbell Jump Squat,Aerobic,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Gastrocnemius, Soleus"
0054,Barbell Lunge,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0055,Barbell Lying Close-grip Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Sternal Head"
0056,Barbell Lying Close-grip Triceps Extension,Strength,Upper Arms,Barbell,Male,Triceps Brachii,
0057,Barbell Lying extension,Strength,Upper Arms,Barbell,Male,Triceps Brachii,
0058,Barbell Lying Lifting (on hip),Strength,Hips,Barbell,Male,Gluteus Maximus,"Gastrocnemius, Sartorius, Soleus"
0059,Barbell Lying Preacher Curl,Strength,Upper Arms,Barbell,Male,Brachialis,"Biceps Brachii, Brachioradialis"
0060,Barbell Lying Triceps Extension Skull Crusher,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head"
0061,Barbell Lying Triceps Extension,Strength,Upper Arms,Barbell,Male,Triceps Brachii,
0062,Barbell Narrow Row,Strength,Back,Barbell,Female,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Deltoid Posterior"
0063,Barbell Narrow Stance Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0064,Barbell One Arm Bent over Row,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
0065,Barbell One Arm Floor Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,Deltoid Posterior
0066,Barbell One Arm Side Deadlift,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0067,Barbell One Arm Snatch,Strength,Shoulders,Barbell,Male,,
0068,Barbell One Leg Squat,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Gluteus Maximus, Soleus"
0069,Barbell Overhead Squat,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Gluteus Maximus, Soleus"
0070,Barbell Preacher Curl,Strength,Upper Arms,Barbell,Male,Brachialis,"Biceps Brachii, Brachioradialis"
0071,Barbell Press Sit-Up,Strength,Waist,Barbell,Male,"Deltoid Anterior, Iliopsoas, Pectoralis Major Clavicular Head, Rectus Abdominis","Deltoid Lateral, Obliques, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae, Triceps Brachii"
0072,Barbell Prone Incline Curl,Strength,Upper Arms,Barbell,Male,Brachialis,"Biceps Brachii, Brachioradialis"
0073,Barbell Pullover,Strength,Back,Barbell,Male,Latissimus Dorsi,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii"
0074,Barbell Rack Pull,Strength,Hips,Barbell,Male,"Erector Spinae, Gluteus Maximus","Adductor Magnus, Hamstrings, Quadriceps, Soleus"
0075,Barbell Rear Delt Raise,Strength,Shoulders,Barbell,Male,Deltoid Posterior ,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Lateral, Levator Scapulae, Trapezius Upper Fibers, Wrist Flexors"
0076,Barbell Rear Delt Row,Strength,Shoulders,Barbell,Male,Deltoid Posterior ,"Brachialis, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0077,Barbell Rear Lunge (version 2),Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0078,Barbell Rear Lunge,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0079,Barbell Revers Wrist Curl (version 2),Strength,Forearms,Barbell,Male,Wrist Extensors,
0080,Barbell Reverse Curl,Strength,Forearms,Barbell,Male,Brachioradialis,"Biceps Brachii, Brachialis"
0081,Barbell Reverse Preacher Curl,Strength,Forearms,Barbell,Male,Brachioradialis,"Biceps Brachii, Brachialis"
0082,Barbell Reverse Wrist Curl,Strength,Forearms,Barbell,Male,Wrist Extensors,
0083,Barbell Rollout from Bench,Strength,Waist,Barbell,Male,"Iliopsoas, Rectus Abdominis","Deltoid Posterior, Latissimus Dorsi, Pectoralis Major Sternal Head, Tensor Fasciae Latae, Teres Major"
0084,Barbell Rollout,Strength,Hips,Barbell,Male,"Iliopsoas, Rectus Abdominis","Adductor Brevis, Adductor Longus, Deltoid Posterior, Pectineous, Pectoralis Major Sternal Head, Sartorius, Tensor Fasciae Latae, Teres Major"
0085,Barbell Romanian Deadlift,Strength,Hips,Barbell,Male,"Erector Spinae, Gluteus Maximus","Adductor Magnus, Hamstrings, Quadriceps, Soleus"
0086,Barbell Seated Behind Head Military Press,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
0087,Barbell Seated Bradford Rocky Press,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
0088,Barbell Seated Calf Raise,Strength,Calves,Barbell,Male,Gastrocnemius,Soleus
0089,Barbell Seated Close-grip Concentration Curl,Strength,Upper Arms,Barbell,Male,Brachialis,"Biceps Brachii, Brachioradialis"
0090,Barbell Seated Good morning,Strength,Hips,Barbell,Male,Gluteus Maximus,Hamstrings
0091,Barbell Seated Overhead Press,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
0092,Barbell Seated Overhead Triceps Extension,Strength,Upper Arms,Barbell,Male,Triceps Brachii,
0093,Barbell Seated Twist (on stability ball),Strength,Waist,Barbell,Female,Obliques,Iliopsoas
0094,Barbell Seated Twist,Strength,Waist,Barbell,Male,Obliques,Iliopsoas
0095,Barbell Shrug,Strength,Back,Barbell,Male,Trapezius Upper Fibers ,"Levator Scapulae, Trapezius Middle Fibers"
0096,Barbell Side Bent (version 2),Strength,Waist,Barbell,Male,Obliques,Iliopsoas
0097,Barbell Side Split Squat (version 2),Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0098,Barbell Side Split Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Longus, Adductor Magnus, Soleus"
0099,Barbell Single Leg Split Squat,Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0100,Barbell Skier,Strength,Shoulders,Barbell,Male,Deltoid Posterior ,"Deltoid Lateral, Teres Major"
0101,Barbell Speed Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0102,Barbell Squat (on knees),Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Hamstrings"
0103,Barbell Standing AB rollout,Strength,Waist,Barbell,Male,"Iliopsoas, Rectus Abdominis","Deltoid Posterior, Levator Scapulae, Teres Major"
0104,Barbell Standing Back Wrist Curl,Strength,Forearms,Barbell,Male,Wrist Flexors,
0105,Barbell Standing Bradford Press,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
0106,Barbell Standing Close Grip Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis"
0107,Barbell Standing Front Raise Over Head,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii"
0108,Barbell Standing Leg Calf Raise,Strength,Calves,Barbell,Male,Gastrocnemius,Soleus
0109,Barbell Standing Overhead Triceps Extension,Strength,Upper Arms,Barbell,Male,Triceps Brachii,
0110,Barbell Standing Reverse Grip Curl,Strength,Forearms,Barbell,Male,Brachioradialis,"Biceps Brachii, Brachialis"
0111,Barbell Standing Rocking Leg Calf Raise,Strength,Calves,Barbell,Male,"Gastrocnemius, Tibialis Anterior",Soleus
0112,Barbell Standing Twist,Strength,Waist,Barbell,Male,Obliques,Iliopsoas
0113,Barbell Standing Wide-grip Curl,Strength,Upper Arms,Barbell,Male,"Biceps Brachii, Brachialis",Brachioradialis
0114,Barbell Step-up,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0115,Barbell Stiff Leg Good Morning,Strength,Thighs,Barbell,Male,"Erector Spinae, Gluteus Maximus, Hamstrings",Adductor Magnus
0116,Barbell Straight Leg Deadlift,Strength,Thighs,Barbell,Male,"Erector Spinae, Hamstrings","Adductor Magnus, Gluteus Maximus"
0117,Barbell Sumo Deadlift,Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus, Tensor Fasciae Latae"
0118,Barbell Reverse Grip Bent over Row,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
0119,Barbell Upright Row (version 2),Strength,Shoulders,Barbell,Male,Deltoid Lateral,"Deltoid Anterior, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0120,Barbell Upright Row,Strength,Shoulders,Barbell,Male,Deltoid Lateral,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0121,Barbell Upright Row (version 3),Strength,Shoulders,Barbell,Male,Deltoid Lateral,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0122,Barbell Wide Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
0123,Barbell Wide-grip Upright Row,Strength,Shoulders,Barbell,Male,Deltoid Lateral,"Brachialis, Brachioradialis, Deltoid Anterior, Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0124,Barbell Wide Squat,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Gluteus Maximus, Soleus"
0125,Barbell Wrist Curl (version 2),Strength,Forearms,Barbell,Male,Wrist Flexors,
0126,Barbell Wrist Curl,Strength,Forearms,Barbell,Male,Wrist Flexors,
0127,Barbell Zercher Squat,Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0128,Battling Ropes,Strength,Shoulders,Rope,Male,Deltoid Posterior ,"Brachialis, Brachioradialis, Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0129,Bench Dip (knees bent),Strength,Upper Arms,Body weight,Male,Triceps Brachii,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Sternal Head"
0130,Bench Hip Extension,Strength,Hips,Body weight,Male,Gluteus Maximus,Hamstrings
0131,Bent-knee Lying Twist (On Stability Ball),Strength,Waist,Stability ball,Female,Obliques,
0132,Bent-knee Lying Twist,Strength,Waist,Body weight,Female,Obliques,
0133,Bent-Knee Side Plank,Strength,Waist,Body weight,Female,Obliques,
0134,Bent Side Knee Push-up,Strength,Hips,Body weight,Female,"Gluteus Medius, Pectoralis Major Sternal Head","Deltoid Anterior, Pectoralis Major Clavicular Head, Quadriceps, Tensor Fasciae Latae, Triceps Brachii"
0135,Bird Dog,Strength,Waist,Body weight,Female,Erector Spinae,"Deltoid Anterior, Gluteus Maximus"
0136,Boat Stretch,Stretching,Waist,Body weight,Female,Rectus Abdominis,Quadriceps
0137,Body-Up,Strength,Shoulders,Body weight,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head"
0138,Bottoms-Up,Strength,Waist,Body weight,Male,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Obliques, Pectineous, Sartorius, Tensor Fasciae Latae"
0139,Brachialis Narrow Pull-ups,Strength,Upper Arms,Body weight,Male,Brachioradialis,"Biceps Brachii, Brachialis"
0140,Brachialis Pull-up,Strength,Forearms,Body weight,Male,"Brachialis, Brachioradialis","Biceps Brachii, Levator Scapulae, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers"
0141,Bridge - Mountain Climber (Cross Body) (female),Strength,Waist,Body weight,Female,Obliques,"Adductor Brevis, Adductor Longus, Deltoid Anterior, Iliopsoas, Pectineous, Quadriceps, Rectus Abdominis, Tensor Fasciae Latae"
0142,Bridge (on knees),Strength,Waist,Body weight,Female,Rectus Abdominis,"Obliques, Quadriceps, Serratus Anterior, Tensor Fasciae Latae"
0143,Bridge (straight arm),Strength,Waist,Body weight,Female,Rectus Abdominis,"Deltoid Anterior, Obliques, Quadriceps, Serratus Anterior, Tensor Fasciae Latae"
0144,Bridge Hip Abduction,Strength,Hips,Body weight,Female,"Gluteus Medius, Tensor Fasciae Latae",
0145,Butt Bridge,Strength,Waist,Body weight,Female,"Iliopsoas, Pectineous, Rectus Abdominis","Obliques, Quadriceps"
0146,Butt Kicks,Aerobic,Thighs,Body weight,Female,,
0147,Bycicle Twisting Crunch,Strength,Waist,Body weight,Female,"Obliques, Rectus Abdominis","Gluteus Maximus, Iliopsoas, Quadriceps"
0148,Cable Alternate Shoulder Press,Strength,Shoulders,Cable,Male,Deltoid Anterior,"Deltoid Lateral, Triceps Brachii"
0149,Cable Alternate Triceps Extension,Strength,Upper Arms,Cable,Male,Triceps Brachii,
0150,Cable Bar Lateral Pulldown,Strength,Back,Cable,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0151,Cable Bench Press,Strength,Chest,Cable,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii"
0152,Cable Concentration Extension (on knee),Strength,Upper Arms,Cable,Male,Triceps Brachii,
0153,Cable Cross-over Lateral Pulldown,Strength,Back,Cable,Male,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0154,Cable Cross-over Revers Fly,Strength,Shoulders,Cable,Male,Deltoid Posterior ,"Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0155,Cable Cross-over Variation,Strength,Chest,Cable,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",Deltoid Anterior
0156,Cable Curl,Strength,Upper Arms,Cable,Female,Biceps Brachii,"Brachialis, Brachioradialis"
0157,Cable Deadlift,Strength,Thighs,Cable,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0158,Cable Decline Fly,Strength,Chest,Cable,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head"
0159,Cable Decline Seated Wide-grip Row,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior"
0160,Cable Floor Seated Wide-grip Row,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior"
0161,Cable Forward Raise,Strength,Shoulders,Cable,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior"
0162,Cable Front Raise,Strength,Shoulders,Cable,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior"
0163,Cable Front Seated Row,Strength,Back,Cable,Female,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior"
0164,Cable Front Shoulder Raise,Strength,Shoulders,Cable,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior"
0165,Cable Hammer Curl (with rope),Strength,Forearms,Cable,Male,Brachioradialis,"Biceps Brachii, Brachialis"
0166,Cable Hammer Curl,Strength,Forearms,Cable,Female,Brachioradialis,"Biceps Brachii, Brachialis"
0167,Cable High Row (kneeling),Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior"
0168,Cable Hip Adduction,Strength,Thighs,Cable,Male,Adductor Longus,"Adductor Brevis, Adductor Magnus, Gracilis"
0169,Cable Incline Bench Press,Strength,Chest,Cable,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii"
0170,Cable Incline Fly (on stability ball),Strength,Chest,Cable,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior"
0171,Cable Incline Fly,Strength,Chest,Cable,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior"
0172,Cable Incline Pushdown,Strength,Back,Cable,Male,Latissimus Dorsi,"Deltoid Posterior, Pectoralis Major Sternal Head, Teres Major"
0173,Cable Incline Triceps Extension,Strength,Upper Arms,Cable,Male,Triceps Brachii,
0174,Cable Judo Flip,Strength,Waist,Cable,Male,Obliques,Rectus Abdominis
0175,Cable Kneeling Crunch,Strength,Waist,Cable,Male,Rectus Abdominis,Obliques
0176,Cable Kneeling Triceps Extension,Strength,Upper Arms,Cable,Male,Triceps Brachii,
0177,Cable Lateral Pulldown (with rope attachment),Strength,Back,Cable,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers"
0178,Cable Lateral Raise,Strength,Shoulders,Cable,Male,Deltoid Lateral,"Deltoid Anterior, Serratus Anterior"
0179,Cable Low Fly,Strength,Chest,Cable,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior"
0180,Cable Low Seated Row,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
0181,Cable Lying Close-grip Curl,Strength,Upper Arms,Cable,Female,Biceps Brachii,"Brachialis, Brachioradialis"
0182,Cable Lying Close-grip Curl,Strength,Upper Arms,Cable,Male,Biceps Brachii,"Brachialis, Brachioradialis"
0183,Cable Lying Curl,Strength,Upper Arms,Cable,Female,Biceps Brachii,"Brachialis, Brachioradialis"
0184,Cable Lying Extension Pullover (with rope attachment),Strength,Back,Cable,Male,Latissimus Dorsi,"Levator Scapulae, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii"
0185,Cable Lying Fly,Strength,Chest,Cable,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Biceps Brachii, Deltoid Anterior"
0186,Cable Lying Triceps Extension (version 2),Strength,Upper Arms,Cable,Male,Triceps Brachii,
0187,Cable Lying Triceps Extension,Strength,Upper Arms,Cable,Male,Triceps Brachii,
0188,Cable Middle Fly,Strength,Chest,Cable,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Lateral, Pectoralis Major Clavicular Head"
